date,temperature,pH,O2,NTU,uS
2020-01-05 16,13.1,7.69,11.08,6.1,252.3
2020-01-05 17,13.1,7.68,12.28,8.4,252.4
2020-01-05 18,13.6,8.09,13.38,10.8,231.1
2020-01-05 19,13.6,8.26,13.56,8.7,226.8
2020-01-05 20,13.1,8.27,14.01,7.7,227.4
2020-01-05 21,13,8.2,14.3,8.9,227.9
2020-01-05 22,13.5,8.19,13.95,9.2,227.6
2020-01-05 23,13.5,8.17,13.86,9.2,228.5
2020-01-06 00,13,8.16,13.42,7,229.1
2020-01-06 01,13,8.11,13.66,8.5,229.6
2020-01-06 02,13.5,8.09,13.73,8.7,229.4
2020-01-06 03,13.5,8.07,13.29,8.2,230.2
2020-01-06 04,13.1,8.07,13.15,6.7,230.4
2020-01-06 05,13,8.03,13.47,8.2,231.2
2020-01-06 06,13.5,8.02,13.14,8,231.2
2020-01-06 07,13.5,8.01,13.06,7.7,231.3
2020-01-06 08,13.1,7.99,12.79,6.6,232
2020-01-06 09,13.1,7.97,13.19,7.7,232.5
2020-01-06 10,13.7,7.96,12.88,8,232.2
2020-01-06 11,13.8,7.95,12.8,7.7,231.9
2020-01-06 12,13.3,7.94,12.62,6.2,232.5
2020-01-06 13,13.5,7.91,12.87,7.4,232.6
2020-01-06 14,14.6,7.88,12.95,8.3,228.7
2020-01-06 15,14.8,7.84,12.7,8.6,228.1
2020-01-06 16,13.4,8.03,13.39,8.6,233.9
2020-01-06 17,13.5,8.08,13.77,8.7,233
2020-01-06 18,14.5,8.15,13.62,10.5,230.9
2020-01-06 19,14.4,8.2,13.28,9.5,230.7
2020-01-06 20,13.4,8.27,14.08,8.1,231.6
2020-01-06 21,13.5,8.28,14.03,8.8,230.2
2020-01-06 22,14.6,8.39,13.73,8.3,221.6
2020-01-06 23,14.7,8.36,13.49,8.7,223.4
2020-01-07 00,13.9,8.35,13.76,7,223.4
2020-01-07 01,13.9,8.3,13.83,8.3,223.9
2020-01-07 02,14.6,8.28,13.04,7.5,223.7
2020-01-07 03,14.6,8.23,12.94,7.4,224.3
2020-01-07 04,13.8,8.17,13.13,6.4,226.3
2020-01-07 05,13.8,8.11,13.18,7.9,227.2
2020-01-07 06,14.5,8.07,12.68,8,227.1
2020-01-07 07,14.4,8.07,12.65,7.5,227.2
2020-01-07 08,13.8,8.07,12.74,6.4,227.3
2020-01-07 09,13.9,8.05,13,7.9,228.4
2020-01-07 10,14.8,8.09,12.65,8,225.9
2020-01-07 11,14.9,8.08,12.37,7.6,226.2
2020-01-07 12,14,8.07,12.8,7.6,227
2020-01-07 13,14,8.05,12.74,7.5,226.9
2020-01-07 14,14.8,8.06,12.39,7.4,226.4
2020-01-07 15,14.8,8.01,12.24,7.3,226.4
2020-01-07 16,13.9,8.02,12.47,7.2,227.3
2020-01-07 17,13.8,8.02,12.71,7.2,227.4
2020-01-07 18,14.4,8,12.35,7,226.8
2020-01-07 19,14.2,8,12.42,7.1,226.7
2020-01-07 20,13.7,7.99,12.58,7.3,227.3
2020-01-07 21,13.6,7.96,12.39,6.4,227.3
2020-01-07 22,14,7.95,12.54,6.8,226.9
2020-01-07 23,14,7.96,12.39,6.3,227.2
2020-01-08 00,13.6,7.96,12.52,6.7,227.1
2020-01-08 01,13.4,7.95,12.62,6.7,227.4
2020-01-08 02,13.8,7.95,12.53,6.9,227.1
2020-01-08 03,13.7,7.93,12.56,6.6,227.1
2020-01-08 04,13.5,7.93,12.18,5.6,227
2020-01-08 05,13.2,7.94,12.39,6.1,227.5
2020-01-08 06,13.3,7.93,12.7,6.7,227.3
2020-01-08 07,13.3,7.92,12.52,6.1,227.5
2020-01-08 08,13.5,7.96,12.19,7.7,225.4
2020-01-08 09,13.2,8.21,13.43,8.2,217.1
2020-01-08 10,13.4,8.27,13.54,7.7,217
2020-01-08 11,13.4,8.31,13.62,8,216.6
2020-01-08 12,13.4,8.3,13.54,6,217.3267059
2020-01-08 13,13.4,8.35,13.92,8.2,218.3
2020-01-08 14,13.3,8.35,13.97,8.1,218.2
2020-01-08 15,13.4,8.32,13.78,8.2,218
2020-01-08 16,13.2,8.31,13.63,7.4,218.7
2020-01-08 17,13,8.29,13.71,7.8,219
2020-01-08 18,13.3,8.26,13.65,8.1,219
2020-01-08 19,13.2,8.25,13.58,8.6,218.9
2020-01-08 20,13.1,8.22,13.44,6.8,219.5
2020-01-08 21,12.8,8.18,13.72,7.9,220.2
2020-01-08 22,13.1,8.17,13.55,7.6,220.1
2020-01-08 23,13,8.15,13.4,7.2,220.5
2020-01-09 00,13.1,8.13,13.18,6.2,220.5
2020-01-09 01,12.9,8.1,13.54,7.2,221
2020-01-09 02,13,8.09,13.29,7,221.3
2020-01-09 03,13,8.07,13.38,7.1,221.3
2020-01-09 04,13,8.06,12.74,5.8,221
2020-01-09 05,12.8,8.04,13.42,7.2,221.6
2020-01-09 06,12.7,8.19,13.83,8.5,220.8
2020-01-09 07,12.6,8.19,13.86,8.6,220.8
2020-01-09 08,12.5,8.18,13.6,7.5,220.3
2020-01-09 09,12.4,8.17,13.71,8.4,220.6
